,NVDA,MSFT,GOOGL,META,AAPL,TSM,ORCL,LLY,CAT,DE,URI,CL,COST,UBER,ENPH,SMR,CCJ,NNE,OKLO,RHM.DE,HAG.DE,HO.PA,LDO.MI,HDMG.DE,BTC-USD,ETH-USD,SOL-USD,GLD,SLV,RKLB,LUNR,ASTS,RGTI,QBTS,IONQ,VKTX,BEAM,CATX,SOUN,AMPX,JMIA,TCEHY,NURO,BDMD
2024-05-08 04:00:00,325721000.0,11792300.0,19569100.0,11683900.0,45057100.0,10202300.0,4636000.0,2089800.0,2260300.0,640300.0,474000.0,7252100.0,1511900.0,84220000.0,2822100.0,1406000.0,2993900.0,5722800.0,3024900.0,,,,,,,,,4462700.0,16967400.0,9529400.0,2140100.0,999900.0,2648800.0,2119400.0,4531500.0,1799700.0,1020200.0,511000.0,22638200.0,463300.0,4232200.0,1986300.0,,
2024-05-08 22:00:00,,,,,,,,,,,,,,,,,,,,152696.0,142223.0,149069.0,2597252.0,,,,,,,,,,,,,,,,,,,,,
2024-05-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,25453338161.0,10861947179.0,2249863780.0,,,,,,,,,,,,,,,,,0.0
2024-05-09 04:00:00,378013000.0,14689700.0,15346700.0,9437700.0,48983000.0,8012700.0,3236200.0,2522100.0,3208900.0,995100.0,358500.0,4639600.0,1716200.0,27965500.0,3726200.0,2284700.0,2993500.0,997300.0,5197600.0,,,,,,,,,7732500.0,32734900.0,7792400.0,2252700.0,1249000.0,3050200.0,1983100.0,6360700.0,2416800.0,1185400.0,602200.0,41935100.0,583200.0,5539100.0,2586000.0,,
2024-05-09 22:00:00,,,,,,,,,,,,,,,,,,,,171612.0,356196.0,186369.0,5522685.0,,,,,,,,,,,,,,,,,,,,,
2024-05-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,27804954694.0,12278653601.0,2471594251.0,,,,,,,,,,,,,,,,,0.0
2024-05-10 04:00:00,335325000.0,13402300.0,29799900.0,10750000.0,50759500.0,23671400.0,4122500.0,2082300.0,2210600.0,1426800.0,352100.0,3007600.0,1652700.0,18924400.0,3201800.0,7501200.0,2829300.0,587400.0,25611900.0,,,,,,,,,8700900.0,24489700.0,9940200.0,1461800.0,1318400.0,3729000.0,3869000.0,3888600.0,3993200.0,1366600.0,490580.0,88336400.0,704300.0,2417700.0,2026700.0,,
2024-05-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,13842272968.0,6795916454.0,1243751505.0,,,,,,,,,,,,,,,,,
2024-05-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,13800459405.0,5908941395.0,936690341.0,,,,,,,,,,,,,,,,,
2024-05-12 22:00:00,,,,,,,,,,,,,,,,,,,,237986.0,291968.0,128988.0,5106276.0,,,,,,,,,,,,,,,,,,,,,
2024-05-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,27889181179.0,13352264795.0,2556255769.0,,,,,,,,,,,,,,,,,1000.0
2024-05-13 04:00:00,289680000.0,15440200.0,31327600.0,14668800.0,72044800.0,8278700.0,4140000.0,1848900.0,2051200.0,1402800.0,395100.0,3229300.0,1596800.0,18983100.0,2950200.0,6367700.0,3785000.0,619900.0,12579100.0,,,,,,,,,4896300.0,15222900.0,10483200.0,2399500.0,3457300.0,5054800.0,4672600.0,4937600.0,2577800.0,1766500.0,564400.0,52300400.0,5029600.0,2958200.0,5809800.0,,
2024-05-13 22:00:00,,,,,,,,,,,,,,,,,,,,589539.0,398547.0,167205.0,2847874.0,,,,,,,,,,,,,,,,,,,,,
2024-05-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,28186271527.0,12444516140.0,2586166419.0,,,,,,,,,,,,,,,,,0.0
2024-05-14 04:00:00,296507000.0,15109300.0,25127100.0,10478600.0,52393600.0,12316500.0,17811200.0,1956200.0,1563400.0,1765800.0,349800.0,3971500.0,1327700.0,19462300.0,4521500.0,10028500.0,2786000.0,1087500.0,6670600.0,,,,,,,,,4662700.0,20065000.0,20583400.0,4044100.0,4175500.0,3392200.0,3977500.0,6765400.0,1505200.0,1437700.0,669620.0,35752600.0,1812100.0,3105500.0,7031500.0,,
2024-05-14 22:00:00,,,,,,,,,,,,,,,,,,,,314770.0,203279.0,127758.0,3350356.0,,,,,,,,,,,,,,,,,,,,,
2024-05-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,39815167074.0,14666902956.0,3585715674.0,,,,,,,,,,,,,,,,,300.0
2024-05-15 04:00:00,417735000.0,22239500.0,26948400.0,13100500.0,70400000.0,14027100.0,6604600.0,3038300.0,1913900.0,1861200.0,508800.0,2536100.0,1661700.0,16308700.0,3875700.0,3980000.0,2092800.0,824100.0,5041700.0,,,,,,,,,9297700.0,39872400.0,11808200.0,2949400.0,11016400.0,4197900.0,3751100.0,4588600.0,4204800.0,902400.0,1811040.0,30779900.0,1303100.0,5460600.0,3138300.0,,
2024-05-15 22:00:00,,,,,,,,,,,,,,,,,,,,246892.0,275138.0,129166.0,4143295.0,,,,,,,,,,,,,,,,,,,,,
2024-05-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,31573077994.0,13035465176.0,3498272951.0,,,,,,,,,,,,,,,,,0.0
2024-05-16 04:00:00,323952000.0,17530100.0,27867900.0,16608200.0,52845200.0,13394100.0,5159300.0,2299700.0,2821700.0,3623800.0,480400.0,3240600.0,2000000.0,19923500.0,2733400.0,7261700.0,2842900.0,366000.0,2993300.0,,,,,,,,,4301700.0,19821300.0,5501700.0,1359900.0,76045600.0,4537500.0,2187100.0,3187000.0,7491700.0,684000.0,1070560.0,22804800.0,775900.0,5227900.0,3868600.0,,
2024-05-16 22:00:00,,,,,,,,,,,,,,,,,,,,236832.0,170673.0,127186.0,2698394.0,,,,,,,,,,,,,,,,,,,,,
2024-05-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,28031279310.0,14449438097.0,3371355809.0,,,,,,,,,,,,,,,,,500.0
2024-05-17 04:00:00,359691000.0,15352200.0,24479300.0,10807300.0,41282900.0,7711200.0,6179400.0,1670300.0,2104300.0,1612100.0,362900.0,4135200.0,1309100.0,15703300.0,2259100.0,4948400.0,5683800.0,385100.0,3650800.0,,,,,,,,,10481900.0,52708100.0,4909700.0,1474900.0,35880800.0,3139900.0,1974200.0,2834700.0,4148200.0,1332200.0,552610.0,25183800.0,1558600.0,7092400.0,3195100.0,,
2024-05-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,16712277406.0,9407051320.0,2479657643.0,,,,,,,,,,,,,,,,,
2024-05-19 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,19249094538.0,8747800800.0,2300080451.0,,,,,,,,,,,,,,,,,
2024-05-19 22:00:00,,,,,,,,,,,,,,,,,,,,239971.0,112565.0,88754.0,2319222.0,,,,,,,,,,,,,,,,,,,,,
2024-05-20 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,43850655717.0,31228143948.0,4636864705.0,,,,,,,,,,,,,,,,,0.0
2024-05-20 04:00:00,318764000.0,16272100.0,22554400.0,11745100.0,44361300.0,9261200.0,5989000.0,2188800.0,2247900.0,1158500.0,344100.0,3900100.0,1347100.0,15864400.0,2451800.0,7371400.0,4346600.0,278400.0,5590800.0,,,,,,,,,5990900.0,58184700.0,5456600.0,1746200.0,24652900.0,2712800.0,1831400.0,3894800.0,2484300.0,565200.0,390970.0,29816300.0,1371500.0,3328900.0,1902600.0,,
2024-05-20 22:00:00,,,,,,,,,,,,,,,,,,,,203229.0,90435.0,157453.0,2638527.0,,,,,,,,,,,,,,,,,,,,,
2024-05-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,46932005990.0,37643853967.0,4568414163.0,,,,,,,,,,,,,,,,,200.0
2024-05-21 04:00:00,328946000.0,21453300.0,16989400.0,11742200.0,42309400.0,7919400.0,5549500.0,4334500.0,1841100.0,1370900.0,276000.0,4998200.0,1375700.0,16592500.0,2540000.0,3400400.0,3581100.0,67800.0,4647700.0,,,,,,,,,4002600.0,30700300.0,5936300.0,1820100.0,15850300.0,3587000.0,2268800.0,4747000.0,3457300.0,971800.0,405650.0,24103500.0,712800.0,4687800.0,2551100.0,,
2024-05-21 22:00:00,,,,,,,,,,,,,,,,,,,,177640.0,97351.0,165894.0,2663964.0,,,,,,,,,,,,,,,,,,,,,
2024-05-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,32802561717.0,25155809461.0,3833758536.0,,,,,,,,,,,,,,,,,800.0
2024-05-22 04:00:00,548648000.0,18073700.0,17880000.0,10078600.0,34648500.0,13455200.0,5705000.0,1767500.0,2104200.0,1318800.0,280300.0,3849900.0,1192800.0,22562100.0,8382200.0,4749500.0,3540200.0,124700.0,2648500.0,,,,,,,,,8903100.0,48609700.0,4592600.0,1532700.0,8460600.0,2871100.0,1758500.0,3189600.0,3120100.0,1019800.0,305460.0,22479900.0,2346200.0,3337500.0,2308100.0,,
2024-05-22 22:00:00,,,,,,,,,,,,,,,,,,,,355638.0,152966.0,117416.0,2190294.0,,,,,,,,,,,,,,,,,,,,,
2024-05-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,41895680979.0,45623656317.0,5117258940.0,,,,,,,,,,,,,,,,,100.0
